GrainSize,Time[s],NumTasks
1, 0.14343, 640000
2, 0.107627, 262144
4, 0.0937545, 65536
8, 0.0879637, 16384
10, 0.0895733, 16384
16, 0.088284, 4096
20, 0.0871129, 4096
32, 0.0874572, 1024
40, 0.0863003, 1024
64, 0.0871149, 256
80, 0.0867423, 256
100, 0.0878473, 64
128, 0.0874826, 64
256, 0.0872005, 16
400, 0.0874851, 4
800, 0.156858, 1
